,cluster_broad,date_publish,outlet,headline
897,5,2019-08-29 12:50:55,The Guardian,Has Brexit destroyed party loyalty? Ruth Davidson’s resignation will show us
899,2,2019-08-29 12:54:09,CBS News,Samsung heir Lee Jae-yong faces retrial in bribery scandal that toppled a president
900,6,2019-08-29 12:59:11,CBS News,Drugmakers' liability for opioid crisis could reach $150 billion
901,5,2019-08-29 13:00:08,Los Angeles Times,"As Britain staggers toward Brexit, the pound’s wild ride creates winners and losers"
902,0,2019-08-29 13:06:00,ABC News,Mumps sickens hundreds of detained migrants in 19 states
903,2,2019-08-29 13:06:43,USA Today,Report says he bought gun from Romania
904,3,2019-08-29 13:06:44,Fox News,"Debate lineup slashed in half: Numerous 2020 Dems fail to make the cut, turn on DNC"
905,5,2019-08-29 13:18:55,BBC,Does Ruth Davidson going make independence more likely?
906,6,2019-08-29 13:20:30,Fox News,VA Secretary Wilkie assures veterans 'they are safe' following string of suspicious deaths at government hospital
907,5,2019-08-29 13:20:58,BBC,Parliament suspension: What was the Queen's role?
908,1,2019-08-29 13:21:32,Reuters,U.S. economy slows in second quarter; consumer spending robust
909,10,2019-08-29 13:22:09,Breitbart,Lawrence O'Donnell Lets Conspiracy Spread Online After TV Retraction
910,5,2019-08-29 13:25:30,The Washington Post,UK’s Johnson is gambling his future on suspending Parliament
911,4,2019-08-29 13:26:13,The Washington Post,India accuses Pakistan of trying to infiltrate terrorists
912,9,2019-08-29 13:29:14,HuffPost,"Trump Administration To Undo Limits On Methane, Ignoring Environmental Concerns"
913,9,2019-08-29 13:29:14,Yahoo! News,"Trump Administration To Undo Limits On Methane, Ignoring Environmental Concerns"
915,4,2019-08-29 13:37:17,PBS,Satellite photos show apparent explosion on Iran space center launch pad
916,9,2019-08-29 13:39:30,The Washington Post,Farmers’ loyalty to Trump tested over new corn-ethanol rules
917,5,2019-08-29 13:44:27,Reuters,Sterling volatility gauges jump as investors fear Brexit showdown
918,9,2019-08-29 13:46:08,Reuters,Trump administration to relax methane limits at oil and gas operations
919,4,2019-08-29 13:46:23,The Washington Post,"Israel: Iran, Hezbollah intensifying missile efforts"
920,5,2019-08-29 13:47:11,The Guardian,"Ruth Davidson should have been Tory leader. Instead, she’s on the sidelines"
921,12,2019-08-29 13:49:13,The Washington Post,Federal charges accuse man of Jewish center video threat
922,5,2019-08-29 13:49:30,BBC,Brexit: Does suspension 'slam brakes' on NI legislation?
923,14,2019-08-29 13:49:57,Los Angeles Times,"China sends fresh troops into Hong Kong, heightening concerns for intervention"
924,4,2019-08-29 13:50:32,Fox News,Satellite images suggest Iranian rocket blew up on launch pad
925,5,2019-08-29 13:50:33,Breitbart,'His Dark Materials' Author Suggested Boris Should be Publicly Lynched
926,6,2019-08-29 13:52:14,The Washington Post,"‘This ain’t your mother’s marijuana,” surgeon general says"
927,2,2019-08-29 13:52:32,Fox News,'It is all politics': Mike Huckabee defends DHS for barring Democratic staff from border facilities
928,6,2019-08-29 13:57:20,The Guardian,Drug makers conspired to worsen the opioid crisis. They have blood on their hands
929,3,2019-08-29 13:59:40,Fox News,Less than half of Dem field move on to third debate
930,12,2019-08-29 14:01:23,USA Today,Michigan man charged with murder for spiking wife's cereal with heroin
931,10,2019-08-29 14:01:28,Breitbart,Trump Organization Taking Legal Action over O'Donnell Smear
933,4,2019-08-29 14:12:21,Yahoo! News,UPDATE 2-Israel says Iran boosting bid to set up Hezbollah precision-missile plants in Lebanon
934,3,2019-08-29 14:12:49,Fox News,"Joe Biden told moving military story at campaign stop - but it 'never happened,' report says"
935,4,2019-08-29 14:13:03,Reuters,Israel says Iran boosting effort to set up Hezbollah precision-missile plants in Lebanon
936,4,2019-08-29 14:16:00,NBC News,"Israel's shadow war with Iran risks triggering wider conflict, analysts say"
937,15,2019-08-29 14:18:15,The Washington Post,Justice Department watchdog: Ex-FBI Director Comey violated FBI policies in handling of memos on Trump conversations
938,3,2019-08-29 14:19:54,Politico,Issa weighs return to the House - through Duncan Hunter
939,15,2019-08-29 14:20:49,Breitbart,DOJ Declines to Prosecute James Comey for Leaking Classified Info
940,14,2019-08-29 14:22:07,Reuters,Rotated Chinese troops 'will defend Hong Kong prosperity'
941,3,2019-08-29 14:25:22,Chicago Tribune,10 of the 20 remaining Democratic presidential candidates made the cut for the next debate
942,5,2019-08-29 14:25:33,The Guardian,'It's fearmongering': talk of coup fails to impress Brexit-backing Grays
943,15,2019-08-29 14:25:34,HuffPost,"James Comey's Disclosure Of Trump Memos Violated Policy, DOJ Watchdog Finds"
944,15,2019-08-29 14:27:00,NBC News,"Inspector general says Comey violated policy by leaking memos, but DOJ declines to prosecute"
945,15,2019-08-29 14:27:00,NBC News,Department of Justice declines to prosecute Comey over leaked memos
946,3,2019-08-29 14:27:19,National Review,Joe Biden's War Story -- 2020 Democrat Fabricates Story in New Hampshire
947,14,2019-08-29 14:28:24,Reuters,China says troops will defend Hong Kong's prosperity ahead of planned pro-democracy march
948,15,2019-08-29 14:30:16,The Washington Post,Watchdog: Comey violated FBI policies in handling of memos
949,15,2019-08-29 14:38:12,Breitbart,Comey Demands Apology Despite Violating FBI Policies
950,15,2019-08-29 14:38:38,Yahoo! News,DOJ declines to prosecute Comey despite finding that he leaked info
951,15,2019-08-29 14:38:38,Reuters,DOJ declines to prosecute Comey despite finding that he leaked memo
952,15,2019-08-29 14:39:18,USA Today,Justice finds ex-FBI director violated policy with Trump memos
953,15,2019-08-29 14:39:42,Los Angeles Times,"James Comey violated FBI policies in handling of memos, official says"
954,5,2019-08-29 14:41:27,Reuters,UK opposition leader Corbyn to try on Tuesday to stop parliament shutdown
955,15,2019-08-29 14:42:25,The Washington Post,"Comey violated FBI policy in handling of memos detailing interactions with Trump, inspector general finds"
956,9,2019-08-29 14:42:47,Yahoo! News,Trump administration to seek roll back of methane pollution rule
957,15,2019-08-29 14:46:14,Yahoo! News,Justice Department Says Former FBI Director James Comey Violated Policy by Leaking Trump Memos
958,0,2019-08-29 14:47:00,ABC News,CDC reports more than 900 mumps cases in immigrant detention centers
959,3,2019-08-29 14:47:31,The Washington Post,The undeniable Al Franken connection to Kirsten Gillibrand’s failed presidential bid
960,10,2019-08-29 14:48:51,Fox News,"Pence defends Bible at VA hospital, derides 'politically correct' Obama"
962,15,2019-08-29 14:55:23,Reuters,DOJ declines to prosecute Comey despite finding that he leaked memo
963,2,2019-08-29 15:01:38,Los Angeles Times,Samsung heir faces return to prison in South Korea scandal
964,2,2019-08-29 15:01:38,Los Angeles Times,Samsung heir faces return to prison in South Korea scandal
965,10,2019-08-29 15:03:53,USA Today,President 'doesn't lie'
966,14,2019-08-29 15:03:59,The Washington Post,Hong Kong: PLA troop rotation raises fears about Chinese military garrison
967,9,2019-08-29 15:06:37,Yahoo! News,Trump administration to loosen rules on oil and gas companies emitting one of the most harmful greenhouse gases
968,6,2019-08-29 15:09:05,CBS News,Government warns against marijuana use for young people and pregnant women
969,9,2019-08-29 15:22:25,Yahoo! News,Trump administration to roll back Obama-era pollution regulations
970,15,2019-08-29 15:24:20,Chicago Tribune,"Former FBI Director James Comey mishandled memos on talks with Trump, Justice Department’s inspector general says"
971,1,2019-08-29 15:25:00,NBC News,"Uber, Lyft propose $21 an hour minimum wage for drivers in California, but there's a catch"
972,3,2019-08-29 15:33:59,The Washington Post,Darrell Issa eyes return to Congress in Calif. district of embattled Rep. Duncan Hunter
973,8,2019-08-29 15:39:22,USA Today,"Nevada student arrested for rifle, 2000 rounds of ammo found on campus"
974,2,2019-08-29 15:40:44,Reuters,"UK, Germany, France warn on South China Sea tensions"
975,3,2019-08-29 15:41:26,Fox News,Darrell Issa launches exploratory committee in possible challenge to Rep. Duncan Hunter
976,3,2019-08-29 15:45:00,ABC News,Biden misstated details of war story on the campaign trail: Report
977,15,2019-08-29 15:45:30,Reuters,DOJ declines to prosecute Comey despite finding that he leaked info
978,4,2019-08-29 15:46:36,Reuters,Israel says Iran boosting bid to set up Hezbollah precision-missile plants in Lebanon
980,2,2019-08-29 15:47:20,The Washington Post,House Dems say Trump admin blocking visits to border sites
981,5,2019-08-29 15:47:23,Breitbart,Corbyn: Labour Will Move Quickly to Block Brexit
982,10,2019-08-29 15:47:55,Politico,Alabama Gov. Kay Ivey apologizes for participating in blackface skit in college
983,10,2019-08-29 15:49:22,National Review,Johnny Isakson & Brian Kemp -- Georgia Is Off to the Races
984,11,2019-08-29 15:49:50,Reuters,"Colombia's FARC dissident leader issues new call to arms, three years after peace deal"
986,9,2019-08-29 15:57:27,Reuters,Trump EPA proposes easing methane limits at oil and gas operations
988,3,2019-08-29 15:58:54,Yahoo! News,"Good Riddance, Kirsten Gillibrand"
990,8,2019-08-29 15:59:57,USA Today,Student arrested with guns in dorm room planned shooting spree
991,3,2019-08-29 16:08:37,USA Today,Wall between job and family business
992,6,2019-08-29 16:10:00,ABC News,Family's web makes it hard to track cash from opioid maker
993,10,2019-08-29 16:12:33,Fox News,Alabama Gov. Kay Ivey apologizes for wearing blackface in college sorority skit
994,7,2019-08-29 16:16:28,The Washington Post,"Puerto Ricans sought refuge in Florida, now face storm there"
995,9,2019-08-29 16:18:00,Yahoo! News,Trump administration moves to roll back greenhouse gas rules on methane
996,8,2019-08-29 16:19:58,The Guardian,Is there a way out of the Epstein mess? Prince Andrew hasn't put his fat finger on it
997,15,2019-08-29 16:22:03,Breitbart,IG Report Is an 'Unprecedented Rebuke' of James Comey
998,13,2019-08-29 16:22:18,Reuters,Factbox: U.S. retailers comment on latest tariff escalation
999,15,2019-08-29 16:23:19,Fox News,IG report highlights apparent inconsistencies in Comey's testimony about Trump memos
1000,11,2019-08-29 16:25:00,ABC News,Trump canceling trip to Poland to stay in US as Hurricane Dorian moves toward Florida
1001,2,2019-08-29 16:25:20,Yahoo! News,"Report: El Paso shooter bought weapon from Romania, ammo from Russia"
1002,5,2019-08-29 16:26:23,Reuters,Sterling investors hold their nerve despite Johnson's gambit
1003,5,2019-08-29 16:27:03,The Guardian,Why comparisons between Boris Johnson and Charles I aren’t just lazy rhetoric
1005,3,2019-08-29 16:37:57,The Washington Post,"As he campaigns for president, Joe Biden tells a moving but false war story"
1006,15,2019-08-29 16:38:34,Reuters,DOJ declines to prosecute Comey despite finding that he leaked info
1007,5,2019-08-29 16:42:17,The Guardian,Despicable and dark: public around UK decries prorogation
1008,11,2019-08-29 16:43:07,Fox News,"Trump establishes Space Command, defends US interest in space"
1009,15,2019-08-29 16:47:42,Yahoo! News,"Justice declines prosecution of ex-FBI Dir. James Comey for leaked Trump memos, found he violated policy"
1010,3,2019-08-29 16:50:27,Fox News,CNN pundit defends Biden for war story by comparing him to Reagan
1011,9,2019-08-29 16:51:02,Chicago Tribune,Trump’s EPA proposes loosening Obama-era rules on methane emissions
1012,11,2019-08-29 16:53:01,Fox News,Trump cancels trip to Poland so he can monitor Hurricane Dorian
1014,7,2019-08-29 16:57:24,Fox News,Kennedy Space Center braces for Hurricane Dorian as NASA protects launch infrastructure
1015,11,2019-08-29 16:57:53,Breitbart,Conte Vows a More ‘Inclusive’ Italy Under Left-Wing Govt
1016,2,2019-08-29 17:01:10,National Review,Border Wall Pentagon Funds -- Conservative Lawmakers Fight Defense-Bill Provisions
1017,12,2019-08-29 17:02:00,ABC News,'I am talking directly to you': US attorney delivers powerful rebuke to white nationalists
1018,9,2019-08-29 17:04:04,Reuters,Trump EPA proposes easing methane limits at oil and gas operations
1019,12,2019-08-29 17:04:54,Slate,Woman Sues Denver After Giving Birth Alone in a Jail Cell
1021,3,2019-08-29 17:05:34,USA Today,Who made the third Democratic presidential debate
1022,5,2019-08-29 17:05:41,The Guardian,"Proroguing parliament is unlawful abuse of power, court told"
1023,0,2019-08-29 17:07:03,The Washington Post,Mumps sickens hundreds of detained migrants in 19 states
1024,3,2019-08-29 17:07:12,PBS,What’s next for 2020 Dems who didn’t make the September debate?
1025,12,2019-08-29 17:16:13,Los Angeles Times,Huntington man and Newport woman plead not guilty to drug and firearm charges after searches of car and home
1026,11,2019-08-29 17:22:00,ABC News,President Donald Trump reestablishes US Space Command
1028,3,2019-08-29 17:24:07,The Washington Post,Democrats release September debate lineup featuring only 10 candidates on a single night
1029,4,2019-08-29 17:25:18,Yahoo! News,Another Iranian rocket launch has ended in failure after it apparently blew up on the launch pad
1030,1,2019-08-29 17:28:10,Reuters,"U.S. economy slowing, but consumers limiting downside"
1031,5,2019-08-29 17:29:33,The Guardian,Ruth Davidson's obvious contempt for Boris Johnson leaks out
1032,4,2019-08-29 17:33:23,Yahoo! News,Satellite photos show burning Iran space center launch pad
1033,11,2019-08-29 17:34:40,Chicago Tribune,"The U.S. Space Command is set to open, the Pentagon says, but there’s no Space Force yet"
1034,2,2019-08-29 17:35:06,The Washington Post,Trump aides say he was joking about pardons on building the wall. It’s an explanation they’ve given a lot.
1035,8,2019-08-29 17:38:00,NBC News,"2 men who faked military service are ordered to write names of 6,700 Americans killed in action"
1037,0,2019-08-29 17:54:20,PBS,What new citizenship rules mean for children of U.S. personnel living abroad
1038,2,2019-08-29 17:55:26,Fox News,"China slams US warship for 'provocative' transit through South China Sea, calling it 'maritime hegemony'"
1039,4,2019-08-29 17:57:00,ABC News,Before and after satellite photos show Iranian rocket explosion on launch pad
1040,6,2019-08-29 18:00:02,The Guardian,Scientists quash idea of single 'gay gene'
1041,1,2019-08-29 18:01:45,Breitbart,Elon Musk: 'China Is the Future'
1042,12,2019-08-29 18:05:35,CNN,A top federal prosecutor in Ohio just sent a harsh message to white supremacists
1043,10,2019-08-29 18:08:01,Fox News,MSNBC's Lawrence O'Donnell deletes tweet pushing unverified Trump-Russia story following retraction
1044,0,2019-08-29 18:08:32,USA Today,"US throws away 3,500 donated kidneys per year, study says. Here's why"
1045,1,2019-08-29 18:09:40,Politico,"Uber, Lyft pitch landmark California worker proposal - and tech industry's first ballot threat"
1046,0,2019-08-29 18:11:43,Reuters,U.S. officials defend new citizenship rules for some military families
1047,11,2019-08-29 18:12:26,Yahoo! News,"Space Command set to open, will defend US interests in space"
1048,9,2019-08-29 18:12:29,USA Today,Climate-damaging methane rules would evaporate under Trump proposal
1049,15,2019-08-29 18:16:14,HuffPost,Trump Reacts To Justice Department Finding James Comey Violated FBI Policy
1050,2,2019-08-29 18:20:28,Slate,New York City schools might eliminate gifted and talented programs.
1051,9,2019-08-29 18:23:40,Reuters,Factbox: U.S. oil and gas regulatory rollbacks under Trump
1052,3,2019-08-29 18:24:19,The Washington Post,Issa moves toward challenging indicted US Rep Duncan Hunter
1053,6,2019-08-29 18:25:06,Yahoo! News,"No 'gay gene', but study finds genetic links to sexual behaviour"
1054,10,2019-08-29 18:31:31,Breitbart,Mike Pence Declares VA Hospitals Will Not Be 'Religion-Free Zones'
1055,0,2019-08-29 18:32:35,Yahoo! News,"US discards thousands of donated kidneys each year as patients die on waitlist, study says"
1057,8,2019-08-29 18:33:36,CNN,"Student arrested after 2,000 rounds of ammunition found in his vehicle at a Nevada college, officials say"
1058,2,2019-08-29 18:36:46,Yahoo! News,Greta Thunberg Ups Climate Pressure Ahead of UN Summit: ‘This Has to Be a Tipping Point’
1059,0,2019-08-29 18:39:17,The Washington Post,New Mexico official: Retake state land leased to Epstein
1060,9,2019-08-29 18:39:48,Yahoo! News,Climate crisis: Trump to roll back Obama-era pollution regulations for oil and gas drilling designed to reduce methane emissions
1061,6,2019-08-29 18:41:00,Yahoo! News,New genetic links to same-sex sexuality found in huge study
1062,6,2019-08-29 18:42:09,Los Angeles Times,"There is no single ‘gay gene,’ DNA analysis of nearly half a million people finds"
1063,7,2019-08-29 18:44:48,Fox News,Former Canadian PM says she's 'rooting for a direct hit' of Hurricane Dorian on Mar-a-Lago
1064,5,2019-08-29 18:45:07,BBC,Brexit: Andrea Leadsom meets business group to discuss backstop
1065,11,2019-08-29 18:48:17,The Washington Post,"Colombia’s president accuses Venezula’s Maduro of sheltering rebels, calls for arrest of rearmed insurgents"
1066,6,2019-08-29 18:52:26,Yahoo! News,"No single 'gay gene,' according to largest ever DNA analysis"
1067,6,2019-08-29 18:53:05,PBS,"There is no ‘gay gene.’ There is no ‘straight gene.’ Sexuality is just complex, study confirms"
1068,6,2019-08-29 18:58:50,CBS News,"Is there a ""gay gene""? Major new study says no"
1069,6,2019-08-29 18:58:50,CBS News,"Is there a ""gay gene""? Major new study says no"
1070,11,2019-08-29 18:59:54,The Washington Post,The Latest: Colombia leader seeks arrest of rearmed rebels
1071,4,2019-08-29 19:06:58,Reuters,U.S. sanctions Jammal Trust Bank for financial ties to Hezbollah: Treasury
1072,12,2019-08-29 19:15:39,Yahoo! News,Longest-ever wrongfully imprisoned woman in US history gets $3m in lawsuit settlement
1073,6,2019-08-29 19:16:00,Reuters,Uganda confirms another Ebola case: Ministry of Health
1074,9,2019-08-29 19:22:35,Yahoo! News,Brigitte Macron speaks out against sexism amid G7 Amazon fire funding row with Brazilian president
1075,4,2019-08-29 19:23:06,Fox News,"US labels Lebanon bank with Hezbollah ties a 'global terrorist,' sanctions Iranian networks linked to regime"
1077,3,2019-08-29 19:25:35,CBS News,Virtual caucus plans in Iowa and Nevada hit a snag
1078,6,2019-08-29 19:26:15,USA Today,"Genes play a role in same-sex sexual behavior, study finds"
1079,8,2019-08-29 19:26:40,Yahoo! News,"North Carolina student arrested with guns in his dorm room was planning shooting spree, police say"
1080,8,2019-08-29 19:27:57,CBS News,"College student studied mass shootings and kept guns in dorm room, police say"
1081,4,2019-08-29 19:28:02,Reuters,Iranian satellite launch fails due to technical issues: Official
1082,0,2019-08-29 19:34:00,ABC News,Billionaire presidential candidate Tom Steyer has released 9 years’ worth of tax returns
1083,8,2019-08-29 19:34:41,Breitbart,Woman Stabbed to Death in Alleged 'Random Attack' in D.C.
1084,6,2019-08-29 19:35:20,The Washington Post,Uganda says a traveling Congolese girl has Ebola
1085,4,2019-08-29 19:38:16,Reuters,UAE carries out air strikes in Yemen’s Aden on Saudi-led forces' attackers -WAM
1086,9,2019-08-29 19:40:01,Reuters,Trump EPA proposes scrapping methane limits at oil and gas operations
1087,4,2019-08-29 19:40:10,Reuters,UAE carries out air strikes in Yemen’s Aden on Saudi-led forces' attackers: WAM
1088,15,2019-08-29 19:40:52,Fox News,Steve Hayes: Comey claim he's not a leaker is 'hard to justify'
1089,2,2019-08-29 19:42:13,The Washington Post,New challenge heard to Trump’s emergency for border wall
1090,4,2019-08-29 19:44:28,Reuters,U.S. sanctions Lebanon's Jammal Trust Bank for financial ties to Hezbollah
1091,6,2019-08-29 19:45:47,Reuters,"No 'gay gene', but study finds genetic links to sexual behavior"
1093,10,2019-08-29 19:47:55,Yahoo! News,Alabama Gov. Kay Ivey apologizes for participating in blackface skit in college
1094,6,2019-08-29 19:47:59,USA Today,Weed way too risky for pregnant women and teens
1095,6,2019-08-29 19:49:51,Reuters,Uganda confirms another Ebola case
1096,8,2019-08-29 19:53:00,ABC News,"Nevada college student arrested on campus with rifle, 2,000 rounds of ammunition"
1097,6,2019-08-29 19:55:24,Yahoo! News,Uganda says a traveling Congolese girl has Ebola
1099,9,2019-08-29 19:58:58,Reuters,"Amazon fires scorch Bolsonaro's reputation abroad, but not in Brazil"
1100,11,2019-08-29 20:00:57,Reuters,Colombian dissident rebel leader issues new call to arms three years after peace deal
1101,10,2019-08-29 20:02:15,The Washington Post,Alabama governor apologies for wearing blackface in college
1102,15,2019-08-29 20:03:24,Slate,Inspector general report shows charges against James Comey were very stupid.
1103,7,2019-08-29 20:04:54,Yahoo! News,Florida residents stock up as Hurricane Dorian heads for US coast
1104,0,2019-08-29 20:06:52,PBS,Billionaire Democratic hopeful Steyer releases his taxes
1105,3,2019-08-29 20:08:44,Breitbart,"Poll Shows Biden, Four Other Democrats Leading Donald Trump"
1106,0,2019-08-29 20:13:50,Los Angeles Times,Billionaire presidential candidate Tom Steyer releases tax returns
1108,6,2019-08-29 20:16:43,The Washington Post,Family’s web makes it hard to track cash from opioid maker
1109,3,2019-08-29 20:17:06,Chicago Tribune,Column: Impeach Trump? More and more Democrats realize there’s no harm in asking.
1110,12,2019-08-29 20:17:25,Reuters,Ohio man accused of planning to attack Jewish center faces federal charge
1111,12,2019-08-29 20:17:25,Yahoo! News,Ohio man accused of planning to attack Jewish center faces federal charge
1112,6,2019-08-29 20:20:15,The Washington Post,Lawyer: FBI involved in probe of deaths at VA hospital
1113,10,2019-08-29 20:24:16,The Washington Post,Kayleigh McEnany and Trump aides aversion to saying he lied
1114,3,2019-08-29 20:25:12,Breitbart,Report: Joe Biden Fabricated Emotional Story About Afghanistan War
1115,11,2019-08-29 20:28:09,The Washington Post,"Trump cancels Poland trip as Hurricane Dorian approaches Florida, will send Vice President Pence in his place"
1116,11,2019-08-29 20:29:00,NBC News,Trump cancels trip to Poland to deal with Hurricane Dorian
1117,11,2019-08-29 20:29:00,NBC News,Trump cancels trip to Poland to deal with Hurricane Dorian
1118,4,2019-08-29 20:30:24,The Washington Post,US sanctions Lebanese bank for helping Iran-backed Hezbollah
1119,11,2019-08-29 20:31:07,USA Today,I'm canceling Poland trip because of Hurricane Dorian
1120,4,2019-08-29 20:32:58,Yahoo! News,"Yemen President urges end of UAE strikes, fears secession"
1121,11,2019-08-29 20:33:23,CBS News,Trump cancels his Poland trip as an ominous Hurricane Dorian approaches
1122,11,2019-08-29 20:33:51,The Washington Post,"Trump cancels trip to Poland, says he is staying in the U.S. to monitor Hurricane Dorian"
1123,3,2019-08-29 20:35:27,Reuters,Ten U.S. Democratic 2020 candidates to debate on one night
1124,4,2019-08-29 20:35:41,Yahoo! News,Israel Is Escalating Its Shadow War With Iran. Here's What to Know
1125,9,2019-08-29 20:41:54,Yahoo! News,Some Men Just Want to Watch the World Burn
1126,10,2019-08-29 20:42:32,The Washington Post,Texas governor says ‘mistakes’ made in immigrant rhetoric
1127,10,2019-08-29 20:42:41,The Washington Post,"Trump attacks Fox News, but the network remains silent"
1128,11,2019-08-29 20:42:47,The Washington Post,Trump cancels Poland trip as hurricane heads to Florida
1129,3,2019-08-29 20:44:52,CBS News,What's next for the presidential contenders who didn't make it to the September debate?
1130,15,2019-08-29 20:45:56,Breitbart,'Disgraced' James Comey 'Should Be Ashamed of Himself!'
1131,1,2019-08-29 20:54:29,Yahoo! News,"Billionaires Jack Ma and Elon Musk debate good, evil and AI at conference in China"
1133,8,2019-08-29 20:59:20,Breitbart,Watch: Reporter Confronts Ilhan Omar About Alleged Affair
1134,7,2019-08-29 21:00:51,Yahoo! News,Hurricane Dorian: Florida declares state of emergency as it awaits storm's arrival
1135,11,2019-08-29 21:01:35,Yahoo! News,Trump establishes new military Space Command
1136,11,2019-08-29 21:04:28,Los Angeles Times,Trump cancels trip to Poland due to hurricane threat
1137,9,2019-08-29 21:07:00,NBC News,'Your EPA went too far': Farmers hit hard by Trump EPA's new ethanol rules are fuming
1138,4,2019-08-29 21:09:11,Yahoo! News,"Israel: Iran, Hezbollah intensifying missile efforts"
1139,3,2019-08-29 21:21:00,NBC News,Biden's surrounded at the next Democratic debate
1142,10,2019-08-29 21:36:00,NBC News,Alabama Gov. Kay Ivey apologizes after 1967 audio describing her in blackface emerges
1143,10,2019-08-29 21:36:17,NBC News,Alabama Gov. Kay Ivey apologized for participating in blackface skit during college
1145,11,2019-08-29 21:43:16,Reuters,Trump skips goodwill trip to Poland due to Hurricane Dorian
1146,3,2019-08-29 21:49:16,Fox News,Mark Steyn: Biden's war story controversy latest in long line of verbal mistakes
1147,11,2019-08-29 21:50:40,Breitbart,President Trump Announces the Official Establishment of Space Command
1148,10,2019-08-29 21:51:45,USA Today,Alabama Gov. Kay Ivey sorry for appearing in racist sketch in 1960s
1149,10,2019-08-29 21:52:14,Slate,Alabama Gov. Kay Ivey Apologizes for Wearing Blackface in College Skit
1150,15,2019-08-29 21:52:52,Breitbart,IG Report: James Comey Passed Private Conversation with Trump to FBI Team Investigating Russia Collusion
1151,12,2019-08-29 21:57:00,ABC News,2 former NYPD detectives plead guilty to charges they had sex with suspect in police van
1152,3,2019-08-29 22:00:03,Fox News,Biden pushes back on report refuting disputed war story: 'I don't see what the problem is'
1153,10,2019-08-29 22:02:00,NBC News,"'Mistakes were made' on campaign letter sent before El Paso massacre, Texas governor says"
1154,11,2019-08-29 22:03:23,The Washington Post,"While Congress mulls a Space Force, Trump launches a Space Command"
1155,10,2019-08-29 22:03:43,Reuters,Alabama governor apologizes over blackface episode from student days
1156,1,2019-08-29 22:06:11,The Washington Post,"Uber, Lyft threaten $60 million California ballot measure"
1157,10,2019-08-29 22:10:57,Fox News,Trump's personal assistant resigns from White House amid tensions
1158,9,2019-08-29 22:13:54,Reuters,Brazil president's son Eduardo Bolsonaro to meet with Trump on Friday
1159,3,2019-08-29 22:16:00,NBC News,Biden defends his telling of a harrowing war story after report he got facts wrong
1160,3,2019-08-29 22:16:00,NBC News,Biden defends his telling of a harrowing war story after report he got facts wrong
1161,10,2019-08-29 22:23:15,HuffPost,Alabama Governor Owns Up To Her Sorority's Resurfaced Blackface Skit
1162,15,2019-08-29 22:24:24,Fox News,Hannity: 'Self-proclaimed super patriot' James Comey 'a leaker and a liar'
1163,11,2019-08-29 22:26:26,Yahoo! News,Trump launches new Pentagon command for space warfare
1164,15,2019-08-29 22:47:46,The Guardian,"James Comey violated FBI policies, says justice department watchdog"
1165,0,2019-08-29 22:49:59,Yahoo! News,Steyer Deducted $181 Million for SALT: Campaign Update
1167,0,2019-08-29 22:58:32,Yahoo! News,Condemned inmate waits to hear whether he will be spared
1168,10,2019-08-29 23:00:11,Breitbart,Alabama Gov. Ivey Forced to Apologize After Audio Surfaces Alleging She Wore Blackface
1169,0,2019-08-29 23:00:32,The Washington Post,The Latest: Condemned man waits to hear if he will be spared
1171,0,2019-08-29 23:04:15,The Washington Post,Billionaire Democratic hopeful Steyer releases his taxes
1172,11,2019-08-29 23:05:58,Breitbart,Donald Trump Cancels Trip to Poland in Response to Hurricane Dorian
1173,11,2019-08-29 23:09:58,Yahoo! News,'It's a big deal': Trump takes giant leap in space command launch
1174,11,2019-08-29 23:09:58,The Guardian,'It's a big deal': Trump takes giant leap in space command launch
1175,7,2019-08-29 23:16:32,The Washington Post,"Hurricane Dorian was relatively tame in the Caribbean, but now it’s threatening Florida"
1176,12,2019-08-29 23:21:00,NBC News,FBI arrests NYC man who texted undercover agent about ISIS-inspired terror plot
1177,12,2019-08-29 23:21:00,NBC News,FBI arrests NYC man who texted undercover agent about ISIS-inspired terror plot
1178,6,2019-08-29 23:21:13,Slate,Largest-ever gay gene study raises concerns over misuse.
1179,0,2019-08-29 23:27:44,CBS News,Who would be affected by Trump's new citizenship policy for children born overseas?
1180,1,2019-08-29 23:37:19,The Washington Post,The Latest: DoorDash ups ballot measure threat to $90M
1181,2,2019-08-29 23:38:57,HuffPost,DHS Blocks House Oversight Staff From Visiting Migrant Detention Centers
1182,1,2019-08-29 23:55:17,The Washington Post,"Rideshare, delivery apps pledge $90M California ballot fight"
1183,3,2019-08-29 23:59:23,USA Today,Biden denies conflating details of war story
1185,4,2019-08-30 00:00:00,The New York Times,Tensions Over Kashmir Rise as India Tightens Security
1186,2,2019-08-30 00:00:00,NPR,U.S. Criticizes South Korea After Seoul Scraps Intelligence-Sharing Pact With Tokyo
1187,2,2019-08-30 00:00:00,NPR,U.S. Faces Challenges In Managing Tensions Between South Korea And Japan
1188,1,2019-08-30 00:00:00,The New York Times,Uber and Lyft to Spend $60 Million to Maintain California Driver Status
1189,13,2019-08-30 00:00:00,The New York Times,China Expels a Wall Street Journal Reporter in Sign of Tougher Line
1191,0,2019-08-30 00:00:00,Politico,"House Judiciary delays gun control meeting, citing hurricane preparations"
1192,10,2019-08-30 00:00:00,NPR,Alabama Gov. Kay Ivey Apologizes For Wearing Blackface In College Skit
